
	1	У хворої після підняття важкої сумки раптово з’явився гострий біль у попереку. Рухи в хребті обмежені. Не викликається ахілловий рефлекс зліва, з’явилась анестезія больової чутливості на зовнішній поверхні лівої гомілки. Яке захворювання запідозрите?
 	9	76-річна хвора протягом 7 днів скаржиться на постійне підвищення температури до 38-38,70С,  помірний головний біль,  безсоння,  страхітливі сновидіння,  сухий кашель.  З 4	дня хвороби  -  на  тулубі розеольозно-петехіальна екзантема.  В  дитинстві хворіла на тиф.  Т - 38,40С , пульс 98,  гепатоліенальний синдром,  двобічна вогнищева пневмонія.  Яке захворювання найбільш  ймовірне?
A	*Хвороба Брила.
B	Черевний тиф
C	Хвороба Лайма
D	Малярія
E	Лептоспіроз


 	10	25-річна жінка півроку тому перенесла аборт.  скаржиться на  зникнення апетиту, слабкість, артралгії,  через два тижні з'явився темний колір сечі,та  жовтяниця,  на тлі якої  загальний стан продовжує погіршуватись. Заподозрений вірусний гепатит   Який з маркерів вірусного гепатиту ймовірніше буде позитивним у хворої?
A	*Anti-HBc IgM.
B	Anti-HEV IgM.
C	Anti-CMV IgM.
D	Anti-HBs
E	Anti-HAV IgM


 	11	Хвора 82 років,  поступила у відділення кардіологічної реанімації із скаргами на гострий біль за грудиною, відчуття браку повітря, слабкість. При рентгенологічному дослідженні органів грудної порожнини поперечний розмір тіні серця збільшений, форма тіні трикутна із закругленими кардіодіафрагмальними кутами. Скорочення серця малої амплітуди, аритмічні. Виявлені рентгенологічні ознаки з найбільшою ймовірністю відповідають:
A	*Ексудативному перікардиту
B	Артальному стенозу
C	Триаді Фалло
D	Ділятаційній кардіоміопатії
E	Міокардит


 	12	Хворий 52 років скаржиться на затруднення проходженя їжі. Вперше дисфагічні явища помітив 6 місяців тому. За останні два місяці вони підсилились. У момент затримки у стравоході  щільної їжі виникають болі за грудиною. При огляді змін у внутрішніх органах не виявлено. В аналізі крові: лейкоцитоз 11*109/л  без змін у формулі, ШОЕ 57мм/год. У сечі – сліди білка. Під час рентгенологічного дослідження стравоходу  у фазі „тугого наповнення” визначається звуження просвіту стравоходу у середній третині протягом 6	см. На передній стінці виявляється дефект наповнення з нерівними контурами, задня стінка на цьому рівні нерівна. Верхня третина грудного відділу незначно розширена, має чітки контури. Нижня третина стравоходу не змінена. Клініко-рентгенологічний діагноз?
A	*Рак стравоходу
B	Варикозне розширення вен стравоходу
C	Рубцове звуження стравоходу
D	Ахалазія стравоходу
E	Спазм стравоходу


 	13	Жінка 27 років пред’являє скарги на задуху, біль в ділянці серця, серцебиття, кашель. Тони серця аритмічні, 1 тон на верхівці хлопаючий.  При рентгенівському дослідженні легеневий малюнок підсилений за рахунок венозного застою. Корені легень розширені, безструктурні. Серединна тінь збільшена, по лівому контуру випинається дуга легеневої артерії. В першому косому положенні ретрокардіальний простір звужений збільшеним левим передсердям, яке зміщує стравохід назад по дузі малого радіусу. В другому косому  положенні виявляється збільшення дуги правого шлуночка. Аорта не змінена. Найбільш ймовірне заключення?
A	*Мітральний стеноз
B	Недостатність аортального клапану
C	Кардіоміопатія
D	Аневризма аорти
E	Тетрада Фалло


 	14	Хворий 17 років на призовній комісії поскаржився на шум в ухах, який підсилюється при фізичному навантаженні. АТ 150/30 мм рт ст , вислуховувся діастолічний шум над аортою. На обзорній рентгенограмі, тінь серця аортальної конфігурації, збільшені дуга аорти та лівого шлуночка. Легеневий малюнок не змінений. Пульсація аорти підсилена. Виявлені рентгенологічні зміни найбільш ймовірно відповідпють:
A	*Аортальна недостатність
B	Атеросклерозу аорти
C	Гіпертонічній хворобі
D	Декстрапозиції аорти
E	Коарктації аорти


 	15	Чоловіка 42 років турбують стискаючі болі за грудиною, серцебиття. Останнім часом посилилась задишка при фізичному навантаженні, з’явились напади ядухи вночі. Інтенсивний систолічний шум з епіцентром по лівому краю грудини не проводиться на судини шиї, ІІ тон збережений. За даними ехокардиіографії: різко виражена гіпертрофія верхньої третини міжшлуночкової перетинки, лівий шлуночок звичайних розмірів, фракція  його викиду - 65%. Прогресування серцевої недостатності у хворого обумовлено
A	* Діастолічною дисфункцією лівого шлуночка
B	Систолічною дисфункцією лівого шлуночка
C	Лівопередсердною недостатністю
D	Систолічною дисфункцією правого шлуночка
E	Легеневою артеріальною гіпертензією


 	16	У спортсмена 20 років при ехокардіографічному дослідженні виявлено маленький дефект  у м’язовій частині міжшлуночкової перетинки зі скидом крові зліва направо. Які дані попереднього клінічного  обстеження могли б свідчити про таку ваду серця?
A	* Грубий систолічний шум по лівому краю грудини
B	Дифузний ціаноз при фізичному навантаженні
C	Акцент ІІ тону над легеневою артерією
D	Пальці – “барабанні палички”
E	Епігастральна пульсація правого шлуночка


 	17	У наркомана 26 років протягом 2-х місяців підвищується температура тіла до 38-39оС, з’явились задишка, набряки ніг. Визначається позитивний венний пульс, пульсація печінки. Над нижньою частиною грудини вислуховується голосистолічний шум, що посилюється під час вдиху. Необхідне ехокардіографічне дослідження для діагностики
A	* Недостатності тристулкового клапана
B	Недостатності клапана аорти
C	Ексудативного перикардиту
D	Недостатності мітрального клапана
E	Недостатності клапана легеневої артерії


 	18	Жінка 22 років відмічає швидку втомлюваність. З раннього дитинства лікарі вислуховували у неї шум в ділянці серця. Пульс 87/хв, ритмічний. АТ 95/60 мм рт.ст. Перкуторні межі серця не змінені. Систолічний шум найкраще чутно у ІІ міжребер’ї зліва від грудини, ІІ тон ослаблений. На рентгенограмі грудної клітки – розширення стовбура і лівої гілки легеневої артерії. Найімовірніше у хворої
A	* Стеноз легеневої артерії
B	Стеноз вічка аорти
C	Функціональний систолічний шум
D	Пролапс мітрального клапана
E	Недостатність клапана легеневої артерії


 	19	Жінка 35 років доставлена зі скаргами на сильний розлитий біль по всьому животу, нудоту, блювання. Погіршення стану настало за 2 дні до госпіталізації, коли на шкірі кінцівок виник дрібнокрапчаста геморагічна висипка, виникли переймоподібні болі в животі, кров’янисті виділення з прямої кишки. За 2 тижні до цього перенесла гостру вірусну інфекцію. Об’єктивно: АТ 90/60 мм рт. ст., ЧСС- 95/хв, живіт при пальпації напружений, є симптоми подразнення очеревини. При дослідженні крові спостерігаються нейтрофільний лейкоцитоз та еозинофілія, зменшення кількості еритроцитів та гемоглобіну. Який діагноз можна встановити у хворої?
A	*Геморагічний васкуліт
B	Гемофілія
C	Тромбоцитопенічна пурпура
D	Хвороба Крона
E	Гемороїдальна кровотеча


 	20	Хворий 50 років скаржиться на різку слабкість, запаморочення, плями на шкірі. Місяць тому назад хворів на ангіну, лікувався самостійно антибіотиками. Об’єктивно: загальний стан важкий,  шкіра та слизові оболонки бліді. На шкірі обличчя та  тулуба  плями різного розміру, синього та коричневого кольору. При пальпації живіт безболісний, печінка +1,5 см виступає з-під краю правої реберної дуги. Загальний аналіз крові: ЕР - 1,2*1012/л,  Нв - 50 г/л, КП  0,70,  тромбоцити – 2*109/л, анізопойкілоцитоз. ШОЕ - 55	мм/год. Який попередній діагноз ?
A	*Тромбоцитопенічна пурпура
B	Геморагічний васкуліт, абдомінальна форма
C	Гостра постгеморагічна анемія
D	Мієломна хвороба
E	Гемофілія


 	21	У хворого 65 років скарги на задишку, сильний кашель з невеликою кількістю харкотиння з прожилками крові, схуднення, То 37,2оС, втрата апетиту, слабкість. Хворіє багато років, стан погіршився рік тому, а задишка з’явилась 3 тижні тому. Все життя палить, працює столяром.  Об-но: нормальної тілобудови, виснажений. Западіння правої половини грудної клітки, обмеження екскурсії, участь додаткової мускулатури в диханні, число дихань 22 за хв. Перкуторно над правою верхньою часткою, аускультативно - дихання відсутнє, на всьому протязі везикулярне жорстке. На Rtg ОГК: верхня права частка зменшена в розмірах, над нею гомогенне затемнення, пов’язане з коренем, корінь деформований, органи межистіння дещо зміщені вправо. Який діагноз найбільш вірогідний?
A	* Обтураційний ателектаз легень
B	Пневмоторакс
C	Саркоїдоз легень
D	Туберкульоз легень
E	Фіброзуючий альвеоліт


 	22	У хворого 20 років під час спортивного тренування раптово з’явились напад задишки, інтенсивний колючий біль в грудях справа і кашель. 	Об-но: хворий сидить у ліжку, блідий. Грудна клітка симетрична, обмежена екскурсія правої половини, число дихань 22	за хв. Над правою половиною грудної клітки перкуторний звук з тимпанічним відтінком, над лівою – ясний легеневий. Аускультативно справа різко ослаблене везикулярне дихання, при пальпації там же значно ослаблене голосове тремтіння. На Rtg ОГК: справа ясне поле без легенового малюнка, легеня зменшена, лежить ближче до кореня, органи межистіння зміщені в ліво. Який діагноз найбільш вірогідний?
A	* Спонтанний пневмоторакс
B	Гостра пневмонія
C	Інфаркт легені
D	Міжреберна невралгія
E	Тромбоемболія дрібних гілок легеневої артерії


 	23	Хворий 68 років страждає на хронічний пієлонефрит упродовж 15 років. В останні 3 місяці скаржиться на інспіраторну задишку при фізичному навантаженні, серцебиття, періодичний біль у ділянці серця без іррадіації, загальну слабкість. Об-но: Акроціаноз на тлі блідості шкіри. Пульс 104/хв, ритмічний, напружений. АТ 190/110 мм рт. ст. Ліва межа серця  на 2 см вліво від лівої серединноключичної лінії, над верхівкою І тон серця ослаблений, систолічний шум, акцент ІІ тону над аортою. На ЕКГ відхилення електричної осі серця вліво, дисметаболічні зміни. Кров: Hb – 66 г/л, креатинін 1,1 ммоль/л. Відносна густина сечі 1,012. Який симптом вказує на недостатність кровообігу?
A	* Задишка при фізичному навантаженні
B	Біль у ділянці серця без іррадіації
C	Серцебиття
D	Відхилення електричної осі серця вліво
E	Акцент ІІ тону над аортою


 	24	Хворий 68 років страждає на хронічний пієлонефрит упродовж 15 років. В останні 3 місяці скаржиться на інспіраторну задишку при фізичному навантаженні, серцебиття, періодичний біль у ділянці серця без іррадіації, загальну слабкість. Об-но: Акроціаноз на тлі блідості шкіри. Пульс 104/хв, ритмічний, напружений. АТ 190/110 мм рт. ст. Ліва межа серця  на 2 см вліво від лівої серединноключичної лінії, над верхівкою І тон серця ослаблений, систолічний шум, акцент ІІ тону над аортою. На ЕКГ відхилення електричної осі серця вліво, дисметаболічні зміни. Кров: Hb – 66 г/л, креатинін 1,1 ммоль/л. Відносна густина сечі 1,012. У хворого артеріальна гіпертензія найвірогідніше
A	* ренопаренхіматозна
B	есенціальна
C	гемодинамічна
D	реноваскулярна
E	викликана недостатністю аортального клапана


 	25	Хвора 32 років звернулася до терапевта у зв`язку з наявністю майже постійного субфебрілітету,тупих болей в поперековій ділянці зліва, збільшення діурезу. При розпитуванні відмічає ніктурію,хворіє хронічним аднекситом. Має дитину 2 років.При огляді:АТ 160/110 мм рт.ст.,діурез-1900 мл.Аналіз крові: Нв-105 г/л,ер- 3,6x1012/л, ШЗЕ-18 мм/год. Аналіз сечі:питома вага 1010,біл-0,066 г/л,лейк-20-25 в	 п/зору,ер-1-2 в п/зору.Найбільш ймовірний діагноз?
A	*Хронічний пієлонефрит
B	Хронічний гломерулонефріт
C	Гострий гломерулонефріт
D	Амілоїдоз нирок
E	Хронічний цистіт


 	26	Хворий 38 років скаржиться на головний біль,підвищення АТ,набряки на різних ділянках тіла. Хворіє біля 7 років.Періодично відмічає сечу кольору м`ясних помоїв,набряки на обличчі.АТ підвищується останні 4 роки.Стан погіршився тиждень назад,коли з`явилися набряки на обличчі,ногах і поясниці.АТ 190/130 мм рт.ст. Тони серця правильні,ослаблені,акцент ІІт над аортою.Аналіз сечі: біл-2,2 г/л,лейк-3-5 в п/зору,ер-10-14 в п/зору,циліндри гіалінові і зернисті 6-8 в п/зору.Креатинін крові 0.07	ммоль/л. Найбільш ймовірний діагноз?
A	*Хронічний гломерулонефріт
B	Хронічний пієлонефріт
C	Амілоїдоз нирок
D	Сечокам`яна хвороба
E	Екстракапілярний нефріт


 	27	У хворого 24 років протягом останніх двох місяців відмічається наростаюча головний біль,загальна слабкість,запаморочення,кровоточивість (носові кровотечі,геморагії на шкірі  і слизових оболонках).Лімфатичні вузли,печінка і селезінка не збільшені.Аналіз крові: Hb-50 г/л, Ер-1,6x1012/л,  КП-1,0,  Лейк-2,0x109/л,  п-1%, C-35%, е-1%, б-1%, л-10%, м-4%, тром-30x109/л.Який ймовірний діагноз?
A	*Апластична анемія
B	Гострий лейкоз
C	Залізодефіцитна анемія
D	В12- дефіцитна анемія
E	Гемолітична анемія


 	28	В стаціонар поступила жінка 38 років зі скаргами на болі в дрібних суглобах,субфебрілітет..Хворіє протягом 4 років.Спочатку відмічались лише повторні атаки поліартриту дрібних суглобів кисті. Під час огляду:деформація проксимальних міжфалангових суглобів,розширення серця в обидва боки, систолічний шум на верхівці,АТ-150/100 мм рт.ст. При рентгенографії ОГК-плевродіафрагмальні спайки,збільшення лівого шлуночка . Аналіз крові:Нв-98 г/л,ер-3,4x1012/л, лейк- 4,0x109/л, ШЗЕ-50 мм/год. Аналіз сечі: біл-1,3 г/л,ер-8-9 в п/зору,Гіалінові циліндри  3-4 в п/зору. Найбільш ймовірний діагноз?
A	* Системний червоний вовчак
B	Ревматоїдний  поліартрит
C	Системна склеродермія
D	Хронічний гломерулонефріт
E	Ревматизм


 	29	Чоловік 37 років скаржиться на серцебиття, задишку,перебої в роботі серця,запаморочення, швидку втомлюваність.При обстеженні виявили виражену кардіомегалію, глухі тони серця, систолічний шум на верхівці, ознаки декомпенсації IIА ст. На ЕКГ мерехтлива аритмія, блокада лівої ніжки пучка Гіса, (-) зубці Т в багатьох відведеннях. При ЕхоКГ виявили дифузну ділятацію порожнин серця,зниження скоротливості міокарда.Ймовірний діагноз?
A	*Застійна кардіоміопатія
B	Гіпертрофічна кардіоміопатія
C	Сімейна кардіоміопатія
D	Облітеруюча кардіоміопатія
E	Констриктивна кардіоміопатія


 	30	Чоловік 35 років звернувся до кардіолога з приводу серцебиття,болей в ділянці серця,запаморочення.Хворіє біля 10 років.При обстеженні виявили блідість шкірних покровів,наявність симптомів Мюссе і Квінке, а також діастолічний шум над аортою з розповсюдженням вліво і вниз. Який інший симптом може відповідати цьому захворюванню?
A	*Підсилена пульсація сонних артерій
B	Мерехтлива аритмія
C	Зменшення пульсового АТ
D	Гіпертрофія правого шлуночка
E	Малий твердий пульс


 	31	Хворий 42 років скаржиться на постійний біль в епігастральній ділянці з іррадіацією в спину,нудоту,блювання,печію.Хворіє на виразкову хворобу duodenum протягом 20	років.Об-но:пониженого харчування,язик обкладений,вологий. Живіт напружений,болючий  при пальпації в пілородуоденальній зоні.(+) с-м Образцова. Субфебрілітет. Ан.крові: лейк- 10,0x109/л, ШЗЕ-24 мм/год. Рентгенологічно: в цибулині  duodenum занурена трьохшарова ніша 0,7x1,0 см.Реакція Грегерсена (-). Яке ускладнення має місце в даному випадку?
A	*Пенетрація
B	Перфорація
C	Кровотеча
D	Малігнізація
E	Стеноз воротаря


 	32	У молодого хлопця 23 років раптово після сильного кашлю виник напад болей в грудній клітині справа.При огляді:справа-тимпаніт,ослаблене дихання.  Який ймовірний діагноз?
A	*Спонтанний пневмоторакс
B	Сухий плеврит
C	Інфаркт міокарда
D	Ексудативний плеврит
E	Прорив виразки шлунка


 	33	Чоловік 29 років хворіє гормонозалежною бронхіальною астмою. Під час флюорографії в С2 правої легені виявлено округлу тінь з чіткими рівними контурами, середньої інтенсивності. Навколо неї декілька поліморфних вогнищевих тіней, у корені – кальцинат. Перкуторний звук над легенями з коробковим відтінком, вислуховуються розсіяні сухі хрипи. Аналіз крові без змін. Реакція на пробу Манту з 2 ТО ППД-Л – папула 22 мм. Який найбільш імовірний діагноз.
A	* Туберкульома.
B	Периферичний рак.
C	Пневмонія.
D	Аспергільома.
E	Еозинофільний інфільтрат.


 	34	Робітник цегельного заводу 32 років скаржиться на кашель з невеликою кількістю харкотиння, знижений апетит, пітливість, задишку, температура тіла 37,5оС. Над верхніми  відділами легень вислуховується жорстке дихання. Рентгенологічно: у верхніх і середніх відділах легень симетрично вогнища середньої інтенсивності, без чітких контурів, місцями зливні. В корені звапнений лімфатичний вузол. Аналіз крові: лейкоцитів – 9,5х109/л, ШОЕ – 28 мм/год. МБТ методом бактеріоскопії не виявлені. Проба Манту з 2	ТО ППД-Л – папула 15 мм. Найбільш імовірний діагноз?
A	* Дисемінований туберкульоз легень.
B	Саркоїдоз ІІ ст.
C	Метастатичний карциноматоз.
D	Двобічна вогнищева пневмонія.
E	Пневмоконіоз.


 	35	У чоловіка 29 років, батько якого хворіє на циротичний туберкульоз легень, під час флюорографічного обстеження виявлені зміни в легенях. П’ять років тому лікувався з приводу виразкової хвороби шлунка, багато курить. Іноді турбує біль в епігастральній ділянці. Об’єктивно – патологічних змін не виявлено. Аналіз крові без змін. МБТ в харкотинні методом бактеріоскопії не виявлені. Проба Манту з 2ТО ППД-Л – папула 12	мм. Рентгенологічно – на обох верхівках поодинокі, різної величини й інтенсивності тіні діаметром до 1 см, деякі з них з нечіткими контурами. Найбільш імовірний діагноз.
A	* Вогнищевий туберкульоз легень.
B	Дисемінований туберкульоз легень.
C	Пневмоконіоз.
D	Вогнищева пневмонія.
E	Метастази пухлини в легені.


 	36	Хворий 32 роки відвідав лікаря. З’ясувалось, що 4 дні тому він застудився: з’явилось першіння у глотці, швидка втомлюваність. Вранці наступного дня з’явився сухий кашель, підвищилася температура тіла до 38,2оС, зник апетит, з’явилось слизово-гнійне харкотиння. Перкуторно: над легенями – легеневий тон, дихання везикулярне, послаблене нижче лопатки з правого боку, там же вислуховуються дрібноміхурцеві звучні  та незвучні хрипи. Який діагноз є найбільш вірогідним?
A	*Очагова правобічна пневмонія
B	Бронхіальна астма
C	Гострий бронхіт
D	Рак легені
E	Гангрена легені


 	37	Хвора  скаржиться на лихоманку, сухий кашель,  відчуття першіння в горлі та за грудиною, відчуття нестачі повітря, які з’явились після переохолодження.В анамнезі відсутні данні про захворювання легень.Температура тіла 37,1оС;  легеневий тон з коробочним відтінком, дихання везикулярне з сухими розсіяними та вологими середнього та великого калібру хрипами. Видох подовжений. Діагноз?
A	*Гострий трахеобронхіт
B	ГРВІ
C	Обструктивний бронхіт
D	Пневмонія
E	Бронхоектатична хвороба


 	38	Хворий 54 роки  давно страждає кашлем з виділенням гнійного харкотиння до150 мл за добу. В останній рік  схуд, посилилась задишка, з’явилися набряки на нижніх кінцівках, ціаноз губ, пальці у вигляді ”барабанних   паличок”. Важкий  видих. Над легенями–притуплений тимпаніт більше зправа; дихання везикулярне послаблене, в нижньо-задніх відділах  вологі та розсіяні сухі хрипи, більше на видосі. Який діагноз найбільш вірогідний?
A	*Бронхоектатична хвороба
B	Пневмонія
C	Хронічний обструктивний бронхіт
D	Абсцес легені
E	Рак легенів


 	39	Хвору 62 років госпіталізовано із скаргами на збільшення шийних, надключичних та підпахвинних лімфовузлів, загальну слабкість, підвищенну пітливість, субфебрильну температуру протягом останніх 3-х місяців. В аналізі крові – лейкоцити- 64х109/л, у формулі – лімфоцити 72%. Який метод дослідження доцільно використати для уточнення діагнозу?
A	*Мієлограмма
B	Лімфографія
C	Лімфосцинтіграфія
D	Рентгенологічне дослідження
E	Термографія


 	40	Жінка 30 років скаржеться на загальну слабкість, складність ковтання їжі, сухість шкіри та  ламкість волосся. Об’єктивно: t – 36,6оС, ЧД- 16 в 1хв., PS- 92 уд. в 1хв., АТ-110/70 мм. рт. ст. Шкірні покрови та видимі слизові бліді. У крові: Hb-65 г/л, Е-3,2х1012/л, КП–0,6, рет-3%, Л-6,7х109/л, е-2%, п-3%, с-64%, л-26%, м-5%, ШОЕ-17мм/год.  Сироваткове залізо 7,4 мкмоль/л, загальний білок – 78 г/л. Дефіцит якого фактору зумовив виникнення  захворювання?
A	*Заліза
B	Вітаміну В6C	Білку
D	Фолієвої кислоти
E	Глюкозо-6- фосфатдегідрогенази


 	41	Хворий В., 23 роки. Об’єктивно: шкірні покрови жовті, склери іктеричні. Пульс - 66 удари за хв. АТ 120/80 мм. рт. ст. АЛТ, АСТ, тимолова проба – N. Загальний білірубін – 34	мкмоль/л за рахунок непрямого. Вкажіть найбільш ймовірний діагноз.
A	*Синдром Жильбера
B	Хронічний криптогенний гепатит
C	Хронічний медикаментозний гепатит
D	Хронічний вірусний гепатит С
E	Хронічний персистуючий гепатит


 	42	Хворий А.,50 років, госпіталізований зі скаргами на серцевий біль та задишку, які виникли  раптово після значного фізичного перенавантаження. На ЕКГ зафіксовано елевацію сегмента STв ІІ, ІІІ, аVF відведеннях. Підвищення КФК- МВ майже вдвічі відносно норми. Який діагноз є найбільш вірогідним?
A	*Гострий задній інфаркт міокарду
B	Гострий передній інфаркт міокарду
C	Стенокардія напруження
D	Гострий перикардит
E	Розшаровуюча аневризма аорти


 	43	Хлопець 15 років з дитинства страждає на атопічний дерматит з алергією на м’ясо ракоподібних. Останні 3 місяці, після покупки акваріумних рибок, з’явилися риніт, кон’юнктивіт, свербіння у носі. Рівень якого імунологічного показника треба визначити у хворого?
A	*IgE
B	IgJ
C	IgM
D	IgA
E	Циркулюючі імунні комплекси


 	44	У хворого Т., 47 років, який хворіє на ішемічну хворобу серця близько 5 років, протягом останнього тижня відмічено значне погіршення клінічного стану, а саме: посилення інтенсивності та частоти виникнення загрудинних болів на висоті фізичних навантажень. На  ЕКГ “коритоподібна” депресія сегменту ST в ІІ, ІІІ, аVF відведеннях. Реакції з боку крові не відмічається. Який діагноз є найбільш вірогідним?
A	*Прогресуюча стенокардія
B	Вазоспастична стенокардія
C	Стенокардія, що вперше виникла
D	Гострий передній інфаркт міокарду
E	Гострий задній інфаркт міокарду


 	45	У хворого Д., 46 років, вперше в житті з’явились болі, що локалізовані за нижньою третиною грудини та виникають на фоні фізичного навантаження. На ЕКГ депресія сегменту ST більше 2 мм в ІІ, ІІІ, аVF відведеннях. Реакції з боку крові не відмічається. Який діагноз є найбільш вірогідним?
A	*Стенокардія, що вперше виникла
B	Стенокардія, що прогресує
C	Вазоспастична стенокардія
D	Розшаровуюча аневризма аорти
E	Гострий задній інфаркт міокарду


 	46	У хворого В., 48 років, відмічаються часті напади загрудинного болю, що виникає раптово. При цих станах допомагає ніфедипін або інші антагоністи кальцію. На  ЕКГ, що була зареєстрована під час больового нападу, відмічалась швидкоплинна елевація сегменту ST в грудних відведеннях. Реакції з боку крові не відмічено. Який діагноз є найбільш вірогідним?
A	*Вазоспастична стенокардія
B	Стенокардія, що вперше виникла
C	Стенокардія, що прогресує
D	Гострий передній інфаркт міокарду
E	Гострий задній інфаркт міокарду


 	47	У хворої 36 років після фізичного навантаження з'явилася ядуха, кашель з виділенням розового харкотіння. Страждає на ревматизм та мітральну ваду серця. Аускультативно над серцем та нижніми відділами легенів дрібно- та середньопухирчаті вологі хрипи. Який  механізм погіршення стану є ведучим?
